contig,feature,start,end,strand,gene_id,biotype
contig011,gene,14781,15686,-,JX73_01655,protein_coding
contig011,transcript,14781,15686,-,JX73_01655,protein_coding
contig011,exon,14781,15686,-,JX73_01655,protein_coding
contig011,CDS,14784,15686,-,JX73_01655,protein_coding
contig011,start_codon,15684,15686,-,JX73_01655,protein_coding
contig011,stop_codon,14781,14783,-,JX73_01655,protein_coding
contig011,gene,15999,18989,+,JX73_01660,protein_coding
contig011,transcript,15999,18989,+,JX73_01660,protein_coding
contig011,exon,15999,18989,+,JX73_01660,protein_coding
contig011,CDS,15999,18986,+,JX73_01660,protein_coding
contig011,start_codon,15999,16001,+,JX73_01660,protein_coding
contig011,stop_codon,18987,18989,+,JX73_01660,protein_coding
contig011,gene,18976,19869,+,JX73_01665,protein_coding
contig011,transcript,18976,19869,+,JX73_01665,protein_coding
contig011,exon,18976,19869,+,JX73_01665,protein_coding
contig011,CDS,18976,19866,+,JX73_01665,protein_coding
contig011,start_codon,18976,18978,+,JX73_01665,protein_coding
contig011,stop_codon,19867,19869,+,JX73_01665,protein_coding
contig011,gene,19896,20702,-,JX73_01670,protein_coding
contig011,transcript,19896,20702,-,JX73_01670,protein_coding
contig011,exon,19896,20702,-,JX73_01670,protein_coding
contig011,CDS,19899,20702,-,JX73_01670,protein_coding
contig011,start_codon,20700,20702,-,JX73_01670,protein_coding
contig011,stop_codon,19896,19898,-,JX73_01670,protein_coding
contig011,gene,20710,21018,-,JX73_01675,protein_coding
contig011,transcript,20710,21018,-,JX73_01675,protein_coding
contig011,exon,20710,21018,-,JX73_01675,protein_coding
contig011,CDS,20713,21018,-,JX73_01675,protein_coding
contig011,start_codon,21016,21018,-,JX73_01675,protein_coding
contig011,stop_codon,20710,20712,-,JX73_01675,protein_coding
contig011,gene,21032,22465,-,JX73_01680,protein_coding
contig011,transcript,21032,22465,-,JX73_01680,protein_coding
contig011,exon,21032,22465,-,JX73_01680,protein_coding
contig011,CDS,21035,22465,-,JX73_01680,protein_coding
contig011,start_codon,22463,22465,-,JX73_01680,protein_coding
contig011,stop_codon,21032,21034,-,JX73_01680,protein_coding
contig011,gene,22525,23721,-,JX73_01685,protein_coding
contig011,transcript,22525,23721,-,JX73_01685,protein_coding
contig011,exon,22525,23721,-,JX73_01685,protein_coding
contig011,CDS,22528,23721,-,JX73_01685,protein_coding
contig011,start_codon,23719,23721,-,JX73_01685,protein_coding
contig011,stop_codon,22525,22527,-,JX73_01685,protein_coding
contig011,gene,24013,25434,+,JX73_01690,protein_coding
contig011,transcript,24013,25434,+,JX73_01690,protein_coding
contig011,exon,24013,25434,+,JX73_01690,protein_coding
contig011,CDS,24013,25431,+,JX73_01690,protein_coding
contig011,start_codon,24013,24015,+,JX73_01690,protein_coding
contig011,stop_codon,25432,25434,+,JX73_01690,protein_coding
contig011,gene,25588,26853,-,JX73_01695,protein_coding
contig011,transcript,25588,26853,-,JX73_01695,protein_coding
contig011,exon,25588,26853,-,JX73_01695,protein_coding
contig011,CDS,25591,26853,-,JX73_01695,protein_coding
contig011,start_codon,26851,26853,-,JX73_01695,protein_coding
contig011,stop_codon,25588,25590,-,JX73_01695,protein_coding
contig011,gene,27023,29266,+,JX73_01700,protein_coding
contig011,transcript,27023,29266,+,JX73_01700,protein_coding
contig011,exon,27023,29266,+,JX73_01700,protein_coding
contig011,CDS,27023,29263,+,JX73_01700,protein_coding
contig011,start_codon,27023,27025,+,JX73_01700,protein_coding
contig011,stop_codon,29264,29266,+,JX73_01700,protein_coding
contig011,gene,29266,29826,+,JX73_01705,protein_coding
contig011,transcript,29266,29826,+,JX73_01705,protein_coding
contig011,exon,29266,29826,+,JX73_01705,protein_coding
contig011,CDS,29266,29823,+,JX73_01705,protein_coding
contig011,start_codon,29266,29268,+,JX73_01705,protein_coding
contig011,stop_codon,29824,29826,+,JX73_01705,protein_coding
contig011,gene,29813,30748,+,JX73_01710,protein_coding
contig011,transcript,29813,30748,+,JX73_01710,protein_coding
contig011,exon,29813,30748,+,JX73_01710,protein_coding
contig011,CDS,29813,30745,+,JX73_01710,protein_coding
contig011,start_codon,29813,29815,+,JX73_01710,protein_coding
contig011,stop_codon,30746,30748,+,JX73_01710,protein_coding
contig011,gene,30796,33015,+,JX73_01715,protein_coding
contig011,transcript,30796,33015,+,JX73_01715,protein_coding
contig011,exon,30796,33015,+,JX73_01715,protein_coding
contig011,CDS,30796,33012,+,JX73_01715,protein_coding
contig011,start_codon,30796,30798,+,JX73_01715,protein_coding
contig011,stop_codon,33013,33015,+,JX73_01715,protein_coding
contig011,gene,33041,33559,-,JX73_01720,protein_coding
contig011,transcript,33041,33559,-,JX73_01720,protein_coding
contig011,exon,33041,33559,-,JX73_01720,protein_coding
contig011,CDS,33044,33559,-,JX73_01720,protein_coding
contig011,start_codon,33557,33559,-,JX73_01720,protein_coding
contig011,stop_codon,33041,33043,-,JX73_01720,protein_coding
contig011,gene,33870,34478,+,JX73_01725,protein_coding
contig011,transcript,33870,34478,+,JX73_01725,protein_coding
contig011,exon,33870,34478,+,JX73_01725,protein_coding
contig011,CDS,33870,34475,+,JX73_01725,protein_coding
contig011,start_codon,33870,33872,+,JX73_01725,protein_coding
contig011,stop_codon,34476,34478,+,JX73_01725,protein_coding
contig011,gene,34553,37288,+,JX73_01730,protein_coding
contig011,transcript,34553,37288,+,JX73_01730,protein_coding
contig011,exon,34553,37288,+,JX73_01730,protein_coding
contig011,CDS,34553,37285,+,JX73_01730,protein_coding
contig011,start_codon,34553,34555,+,JX73_01730,protein_coding
contig011,stop_codon,37286,37288,+,JX73_01730,protein_coding
contig011,gene,37439,39445,-,JX73_01735,protein_coding
contig011,transcript,37439,39445,-,JX73_01735,protein_coding
contig011,exon,37439,39445,-,JX73_01735,protein_coding
contig011,CDS,37442,39445,-,JX73_01735,protein_coding
contig011,start_codon,39443,39445,-,JX73_01735,protein_coding
contig011,stop_codon,37439,37441,-,JX73_01735,protein_coding
contig011,gene,39616,40479,-,JX73_01740,protein_coding
contig011,transcript,39616,40479,-,JX73_01740,protein_coding
contig011,exon,39616,40479,-,JX73_01740,protein_coding
contig011,CDS,39619,40479,-,JX73_01740,protein_coding
contig011,start_codon,40477,40479,-,JX73_01740,protein_coding
contig011,stop_codon,39616,39618,-,JX73_01740,protein_coding
contig011,gene,40654,42027,-,JX73_01745,protein_coding
contig011,transcript,40654,42027,-,JX73_01745,protein_coding
contig011,exon,40654,42027,-,JX73_01745,protein_coding
contig011,CDS,40657,42027,-,JX73_01745,protein_coding
contig011,start_codon,42025,42027,-,JX73_01745,protein_coding
contig011,stop_codon,40654,40656,-,JX73_01745,protein_coding
contig011,gene,42041,43405,-,JX73_01750,protein_coding
contig011,transcript,42041,43405,-,JX73_01750,protein_coding
contig011,exon,42041,43405,-,JX73_01750,protein_coding
contig011,CDS,42044,43405,-,JX73_01750,protein_coding
contig011,start_codon,43403,43405,-,JX73_01750,protein_coding
contig011,stop_codon,42041,42043,-,JX73_01750,protein_coding
contig011,gene,43566,43859,-,JX73_01755,protein_coding
contig011,transcript,43566,43859,-,JX73_01755,protein_coding
contig011,exon,43566,43859,-,JX73_01755,protein_coding
contig011,CDS,43569,43859,-,JX73_01755,protein_coding
contig011,start_codon,43857,43859,-,JX73_01755,protein_coding
contig011,stop_codon,43566,43568,-,JX73_01755,protein_coding
contig011,gene,43922,44572,-,JX73_01760,protein_coding
contig011,transcript,43922,44572,-,JX73_01760,protein_coding
contig011,exon,43922,44572,-,JX73_01760,protein_coding
contig011,CDS,43925,44572,-,JX73_01760,protein_coding
contig011,start_codon,44570,44572,-,JX73_01760,protein_coding
contig011,stop_codon,43922,43924,-,JX73_01760,protein_coding
contig011,gene,44575,45414,-,JX73_01765,protein_coding
contig011,transcript,44575,45414,-,JX73_01765,protein_coding
contig011,exon,44575,45414,-,JX73_01765,protein_coding
contig011,CDS,44578,45414,-,JX73_01765,protein_coding
contig011,start_codon,45412,45414,-,JX73_01765,protein_coding
contig011,stop_codon,44575,44577,-,JX73_01765,protein_coding
contig011,gene,45473,46876,-,JX73_01770,protein_coding
contig011,transcript,45473,46876,-,JX73_01770,protein_coding
contig011,exon,45473,46876,-,JX73_01770,protein_coding
contig011,CDS,45476,46876,-,JX73_01770,protein_coding
contig011,start_codon,46874,46876,-,JX73_01770,protein_coding
contig011,stop_codon,45473,45475,-,JX73_01770,protein_coding
contig011,gene,46881,47603,-,JX73_01775,protein_coding
contig011,transcript,46881,47603,-,JX73_01775,protein_coding
contig011,exon,46881,47603,-,JX73_01775,protein_coding
contig011,CDS,46884,47603,-,JX73_01775,protein_coding
contig011,start_codon,47601,47603,-,JX73_01775,protein_coding
contig011,stop_codon,46881,46883,-,JX73_01775,protein_coding
contig011,gene,47817,48506,-,JX73_01780,protein_coding
contig011,transcript,47817,48506,-,JX73_01780,protein_coding
contig011,exon,47817,48506,-,JX73_01780,protein_coding
contig011,CDS,47820,48506,-,JX73_01780,protein_coding
contig011,start_codon,48504,48506,-,JX73_01780,protein_coding
contig011,stop_codon,47817,47819,-,JX73_01780,protein_coding
contig011,gene,48581,48958,-,JX73_01785,protein_coding
contig011,transcript,48581,48958,-,JX73_01785,protein_coding
contig011,exon,48581,48958,-,JX73_01785,protein_coding
contig011,CDS,48584,48958,-,JX73_01785,protein_coding
contig011,start_codon,48956,48958,-,JX73_01785,protein_coding
contig011,stop_codon,48581,48583,-,JX73_01785,protein_coding
contig011,gene,48939,50336,-,JX73_01790,protein_coding
contig011,transcript,48939,50336,-,JX73_01790,protein_coding
contig011,exon,48939,50336,-,JX73_01790,protein_coding
contig011,CDS,48942,50336,-,JX73_01790,protein_coding
contig011,start_codon,50334,50336,-,JX73_01790,protein_coding
contig011,stop_codon,48939,48941,-,JX73_01790,protein_coding
contig011,gene,50350,51201,-,JX73_01795,protein_coding
contig011,transcript,50350,51201,-,JX73_01795,protein_coding
contig011,exon,50350,51201,-,JX73_01795,protein_coding
contig011,CDS,50353,51201,-,JX73_01795,protein_coding
contig011,start_codon,51199,51201,-,JX73_01795,protein_coding
contig011,stop_codon,50350,50352,-,JX73_01795,protein_coding
contig011,gene,51311,53329,+,JX73_01800,protein_coding
contig011,transcript,51311,53329,+,JX73_01800,protein_coding
contig011,exon,51311,53329,+,JX73_01800,protein_coding
contig011,CDS,51311,53326,+,JX73_01800,protein_coding
contig011,start_codon,51311,51313,+,JX73_01800,protein_coding
contig011,stop_codon,53327,53329,+,JX73_01800,protein_coding
contig011,gene,53388,53840,+,JX73_01805,protein_coding
contig011,transcript,53388,53840,+,JX73_01805,protein_coding
contig011,exon,53388,53840,+,JX73_01805,protein_coding
contig011,CDS,53388,53837,+,JX73_01805,protein_coding
contig011,start_codon,53388,53390,+,JX73_01805,protein_coding
contig011,stop_codon,53838,53840,+,JX73_01805,protein_coding
contig011,gene,53854,54738,+,JX73_01810,protein_coding
contig011,transcript,53854,54738,+,JX73_01810,protein_coding
contig011,exon,53854,54738,+,JX73_01810,protein_coding
contig011,CDS,53854,54735,+,JX73_01810,protein_coding
contig011,start_codon,53854,53856,+,JX73_01810,protein_coding
contig011,stop_codon,54736,54738,+,JX73_01810,protein_coding
contig011,gene,54740,56404,+,JX73_01815,protein_coding
contig011,transcript,54740,56404,+,JX73_01815,protein_coding
contig011,exon,54740,56404,+,JX73_01815,protein_coding
contig011,CDS,54740,56401,+,JX73_01815,protein_coding
contig011,start_codon,54740,54742,+,JX73_01815,protein_coding
contig011,stop_codon,56402,56404,+,JX73_01815,protein_coding
contig011,gene,56433,57842,+,JX73_01820,protein_coding
contig011,transcript,56433,57842,+,JX73_01820,protein_coding
contig011,exon,56433,57842,+,JX73_01820,protein_coding
contig011,CDS,56433,57839,+,JX73_01820,protein_coding
contig011,start_codon,56433,56435,+,JX73_01820,protein_coding
contig011,stop_codon,57840,57842,+,JX73_01820,protein_coding
contig011,gene,57811,58710,+,JX73_01825,protein_coding
contig011,transcript,57811,58710,+,JX73_01825,protein_coding
contig011,exon,57811,58710,+,JX73_01825,protein_coding
contig011,CDS,57811,58707,+,JX73_01825,protein_coding
contig011,start_codon,57811,57813,+,JX73_01825,protein_coding
contig011,stop_codon,58708,58710,+,JX73_01825,protein_coding
contig011,gene,58703,59542,+,JX73_01830,protein_coding
contig011,transcript,58703,59542,+,JX73_01830,protein_coding
contig011,exon,58703,59542,+,JX73_01830,protein_coding
contig011,CDS,58703,59539,+,JX73_01830,protein_coding
contig011,start_codon,58703,58705,+,JX73_01830,protein_coding
contig011,stop_codon,59540,59542,+,JX73_01830,protein_coding
contig011,gene,59564,61324,+,JX73_01835,protein_coding
contig011,transcript,59564,61324,+,JX73_01835,protein_coding
contig011,exon,59564,61324,+,JX73_01835,protein_coding
contig011,CDS,59564,61321,+,JX73_01835,protein_coding
contig011,start_codon,59564,59566,+,JX73_01835,protein_coding
contig011,stop_codon,61322,61324,+,JX73_01835,protein_coding
contig011,gene,61422,62768,+,JX73_01840,protein_coding
contig011,transcript,61422,62768,+,JX73_01840,protein_coding
contig011,exon,61422,62768,+,JX73_01840,protein_coding
contig011,CDS,61422,62765,+,JX73_01840,protein_coding
contig011,start_codon,61422,61424,+,JX73_01840,protein_coding
contig011,stop_codon,62766,62768,+,JX73_01840,protein_coding
contig011,gene,62775,63779,+,JX73_01845,protein_coding
contig011,transcript,62775,63779,+,JX73_01845,protein_coding
contig011,exon,62775,63779,+,JX73_01845,protein_coding
contig011,CDS,62775,63776,+,JX73_01845,protein_coding
contig011,start_codon,62775,62777,+,JX73_01845,protein_coding
contig011,stop_codon,63777,63779,+,JX73_01845,protein_coding
contig011,gene,63773,64423,+,JX73_01850,protein_coding
contig011,transcript,63773,64423,+,JX73_01850,protein_coding
contig011,exon,63773,64423,+,JX73_01850,protein_coding
contig011,CDS,63773,64420,+,JX73_01850,protein_coding
contig011,start_codon,63773,63775,+,JX73_01850,protein_coding
contig011,stop_codon,64421,64423,+,JX73_01850,protein_coding
contig011,gene,64555,66792,+,JX73_01855,protein_coding
contig011,transcript,64555,66792,+,JX73_01855,protein_coding
contig011,exon,64555,66792,+,JX73_01855,protein_coding
contig011,CDS,64555,66789,+,JX73_01855,protein_coding
contig011,start_codon,64555,64557,+,JX73_01855,protein_coding
contig011,stop_codon,66790,66792,+,JX73_01855,protein_coding
contig011,gene,66794,68344,+,JX73_01860,protein_coding
contig011,transcript,66794,68344,+,JX73_01860,protein_coding
contig011,exon,66794,68344,+,JX73_01860,protein_coding
contig011,CDS,66794,68341,+,JX73_01860,protein_coding
contig011,start_codon,66794,66796,+,JX73_01860,protein_coding
contig011,stop_codon,68342,68344,+,JX73_01860,protein_coding
contig011,gene,68394,70301,+,JX73_01865,protein_coding
contig011,transcript,68394,70301,+,JX73_01865,protein_coding
contig011,exon,68394,70301,+,JX73_01865,protein_coding
contig011,CDS,68394,70298,+,JX73_01865,protein_coding
contig011,start_codon,68394,68396,+,JX73_01865,protein_coding
contig011,stop_codon,70299,70301,+,JX73_01865,protein_coding
contig011,gene,70340,71251,-,JX73_01870,protein_coding
contig011,transcript,70340,71251,-,JX73_01870,protein_coding
contig011,exon,70340,71251,-,JX73_01870,protein_coding
contig011,CDS,70343,71251,-,JX73_01870,protein_coding
contig011,start_codon,71249,71251,-,JX73_01870,protein_coding
contig011,stop_codon,70340,70342,-,JX73_01870,protein_coding
contig011,gene,71252,71467,-,JX73_01875,protein_coding
contig011,transcript,71252,71467,-,JX73_01875,protein_coding
contig011,exon,71252,71467,-,JX73_01875,protein_coding
contig011,CDS,71255,71467,-,JX73_01875,protein_coding
contig011,start_codon,71465,71467,-,JX73_01875,protein_coding
contig011,stop_codon,71252,71254,-,JX73_01875,protein_coding
contig011,gene,71688,73034,+,JX73_01880,protein_coding
contig011,transcript,71688,73034,+,JX73_01880,protein_coding
contig011,exon,71688,73034,+,JX73_01880,protein_coding
contig011,CDS,71688,73031,+,JX73_01880,protein_coding
contig011,start_codon,71688,71690,+,JX73_01880,protein_coding
contig011,stop_codon,73032,73034,+,JX73_01880,protein_coding
contig011,gene,73036,74367,+,JX73_01885,protein_coding
contig011,transcript,73036,74367,+,JX73_01885,protein_coding
contig011,exon,73036,74367,+,JX73_01885,protein_coding
contig011,CDS,73036,74364,+,JX73_01885,protein_coding
contig011,start_codon,73036,73038,+,JX73_01885,protein_coding
contig011,stop_codon,74365,74367,+,JX73_01885,protein_coding
contig011,gene,74401,76071,-,JX73_01890,protein_coding
contig011,transcript,74401,76071,-,JX73_01890,protein_coding
contig011,exon,74401,76071,-,JX73_01890,protein_coding
contig011,CDS,74404,76071,-,JX73_01890,protein_coding
contig011,start_codon,76069,76071,-,JX73_01890,protein_coding
contig011,stop_codon,74401,74403,-,JX73_01890,protein_coding
contig011,gene,76171,77226,+,JX73_01895,protein_coding
contig011,transcript,76171,77226,+,JX73_01895,protein_coding
contig011,exon,76171,77226,+,JX73_01895,protein_coding
contig011,CDS,76171,77223,+,JX73_01895,protein_coding
contig011,start_codon,76171,76173,+,JX73_01895,protein_coding
contig011,stop_codon,77224,77226,+,JX73_01895,protein_coding
contig011,gene,77226,77450,+,JX73_01900,protein_coding
contig011,transcript,77226,77450,+,JX73_01900,protein_coding
contig011,exon,77226,77450,+,JX73_01900,protein_coding
contig011,CDS,77226,77447,+,JX73_01900,protein_coding
contig011,start_codon,77226,77228,+,JX73_01900,protein_coding
contig011,stop_codon,77448,77450,+,JX73_01900,protein_coding
contig011,gene,77550,78278,+,JX73_01905,protein_coding
contig011,transcript,77550,78278,+,JX73_01905,protein_coding
contig011,exon,77550,78278,+,JX73_01905,protein_coding
contig011,CDS,77550,78275,+,JX73_01905,protein_coding
contig011,start_codon,77550,77552,+,JX73_01905,protein_coding
contig011,stop_codon,78276,78278,+,JX73_01905,protein_coding
contig011,gene,78278,78829,+,JX73_01910,protein_coding
contig011,transcript,78278,78829,+,JX73_01910,protein_coding
contig011,exon,78278,78829,+,JX73_01910,protein_coding
contig011,CDS,78278,78826,+,JX73_01910,protein_coding
contig011,start_codon,78278,78280,+,JX73_01910,protein_coding
contig011,stop_codon,78827,78829,+,JX73_01910,protein_coding
contig011,gene,78887,79840,+,JX73_01915,protein_coding
contig011,transcript,78887,79840,+,JX73_01915,protein_coding
contig011,exon,78887,79840,+,JX73_01915,protein_coding
contig011,CDS,78887,79837,+,JX73_01915,protein_coding
contig011,start_codon,78887,78889,+,JX73_01915,protein_coding
contig011,stop_codon,79838,79840,+,JX73_01915,protein_coding
contig011,gene,79943,84256,+,JX73_01920,protein_coding
contig011,transcript,79943,84256,+,JX73_01920,protein_coding
contig011,exon,79943,84256,+,JX73_01920,protein_coding
contig011,CDS,79943,84253,+,JX73_01920,protein_coding
contig011,start_codon,79943,79945,+,JX73_01920,protein_coding
contig011,stop_codon,84254,84256,+,JX73_01920,protein_coding
contig011,gene,84479,84679,-,JX73_01925,protein_coding
contig011,transcript,84479,84679,-,JX73_01925,protein_coding
contig011,exon,84479,84679,-,JX73_01925,protein_coding
contig011,CDS,84482,84679,-,JX73_01925,protein_coding
contig011,start_codon,84677,84679,-,JX73_01925,protein_coding
contig011,stop_codon,84479,84481,-,JX73_01925,protein_coding
contig011,gene,84860,85396,+,JX73_01930,protein_coding
contig011,transcript,84860,85396,+,JX73_01930,protein_coding
contig011,exon,84860,85396,+,JX73_01930,protein_coding
contig011,CDS,84860,85393,+,JX73_01930,protein_coding
contig011,start_codon,84860,84862,+,JX73_01930,protein_coding
contig011,stop_codon,85394,85396,+,JX73_01930,protein_coding
contig011,gene,85437,86693,+,JX73_01935,protein_coding
contig011,transcript,85437,86693,+,JX73_01935,protein_coding
contig011,exon,85437,86693,+,JX73_01935,protein_coding
contig011,CDS,85437,86690,+,JX73_01935,protein_coding
contig011,start_codon,85437,85439,+,JX73_01935,protein_coding
contig011,stop_codon,86691,86693,+,JX73_01935,protein_coding
contig011,gene,86704,87000,+,JX73_01940,protein_coding
contig011,transcript,86704,87000,+,JX73_01940,protein_coding
contig011,exon,86704,87000,+,JX73_01940,protein_coding
contig011,CDS,86704,86997,+,JX73_01940,protein_coding
contig011,start_codon,86704,86706,+,JX73_01940,protein_coding
contig011,stop_codon,86998,87000,+,JX73_01940,protein_coding
contig011,gene,87000,88628,+,JX73_01945,protein_coding
contig011,transcript,87000,88628,+,JX73_01945,protein_coding
contig011,exon,87000,88628,+,JX73_01945,protein_coding
contig011,CDS,87000,88625,+,JX73_01945,protein_coding
contig011,start_codon,87000,87002,+,JX73_01945,protein_coding
contig011,stop_codon,88626,88628,+,JX73_01945,protein_coding
contig011,gene,88638,89645,+,JX73_01950,protein_coding
contig011,transcript,88638,89645,+,JX73_01950,protein_coding
contig011,exon,88638,89645,+,JX73_01950,protein_coding
contig011,CDS,88638,89642,+,JX73_01950,protein_coding
contig011,start_codon,88638,88640,+,JX73_01950,protein_coding
contig011,stop_codon,89643,89645,+,JX73_01950,protein_coding
contig011,gene,89635,90330,+,JX73_01955,protein_coding
contig011,transcript,89635,90330,+,JX73_01955,protein_coding
contig011,exon,89635,90330,+,JX73_01955,protein_coding
contig011,CDS,89635,90327,+,JX73_01955,protein_coding
contig011,start_codon,89635,89637,+,JX73_01955,protein_coding
contig011,stop_codon,90328,90330,+,JX73_01955,protein_coding
contig011,gene,90352,93288,+,JX73_01960,protein_coding
contig011,transcript,90352,93288,+,JX73_01960,protein_coding
contig011,exon,90352,93288,+,JX73_01960,protein_coding
contig011,CDS,90352,93285,+,JX73_01960,protein_coding
contig011,start_codon,90352,90354,+,JX73_01960,protein_coding
contig011,stop_codon,93286,93288,+,JX73_01960,protein_coding
contig011,gene,93524,95275,+,JX73_01965,protein_coding
contig011,transcript,93524,95275,+,JX73_01965,protein_coding
contig011,exon,93524,95275,+,JX73_01965,protein_coding
contig011,CDS,93524,95272,+,JX73_01965,protein_coding
contig011,start_codon,93524,93526,+,JX73_01965,protein_coding
contig011,stop_codon,95273,95275,+,JX73_01965,protein_coding
contig011,gene,95506,95811,+,JX73_01970,protein_coding
contig011,transcript,95506,95811,+,JX73_01970,protein_coding
contig011,exon,95506,95811,+,JX73_01970,protein_coding
contig011,CDS,95506,95808,+,JX73_01970,protein_coding
contig011,start_codon,95506,95508,+,JX73_01970,protein_coding
contig011,stop_codon,95809,95811,+,JX73_01970,protein_coding
contig011,gene,95998,96861,-,JX73_01975,protein_coding
contig011,transcript,95998,96861,-,JX73_01975,protein_coding
contig011,exon,95998,96861,-,JX73_01975,protein_coding
contig011,CDS,96001,96861,-,JX73_01975,protein_coding
contig011,start_codon,96859,96861,-,JX73_01975,protein_coding
contig011,stop_codon,95998,96000,-,JX73_01975,protein_coding
contig011,gene,96955,98925,+,JX73_01980,protein_coding
contig011,transcript,96955,98925,+,JX73_01980,protein_coding
contig011,exon,96955,98925,+,JX73_01980,protein_coding
contig011,CDS,96955,98922,+,JX73_01980,protein_coding
contig011,start_codon,96955,96957,+,JX73_01980,protein_coding
contig011,stop_codon,98923,98925,+,JX73_01980,protein_coding
contig011,gene,99423,101627,-,JX73_01990,protein_coding
contig011,transcript,99423,101627,-,JX73_01990,protein_coding
contig011,exon,99423,101627,-,JX73_01990,protein_coding
contig011,CDS,99426,101627,-,JX73_01990,protein_coding
contig011,start_codon,101625,101627,-,JX73_01990,protein_coding
contig011,stop_codon,99423,99425,-,JX73_01990,protein_coding
contig011,gene,101697,102251,+,JX73_01995,protein_coding
contig011,transcript,101697,102251,+,JX73_01995,protein_coding
contig011,exon,101697,102251,+,JX73_01995,protein_coding
contig011,CDS,101697,102248,+,JX73_01995,protein_coding
contig011,start_codon,101697,101699,+,JX73_01995,protein_coding
contig011,stop_codon,102249,102251,+,JX73_01995,protein_coding
contig011,gene,102303,102926,+,JX73_02000,protein_coding
contig011,transcript,102303,102926,+,JX73_02000,protein_coding
contig011,exon,102303,102926,+,JX73_02000,protein_coding
contig011,CDS,102303,102923,+,JX73_02000,protein_coding
contig011,start_codon,102303,102305,+,JX73_02000,protein_coding
contig011,stop_codon,102924,102926,+,JX73_02000,protein_coding
contig011,gene,102930,103685,+,JX73_02005,protein_coding
contig011,transcript,102930,103685,+,JX73_02005,protein_coding
contig011,exon,102930,103685,+,JX73_02005,protein_coding
contig011,CDS,102930,103682,+,JX73_02005,protein_coding
contig011,start_codon,102930,102932,+,JX73_02005,protein_coding
contig011,stop_codon,103683,103685,+,JX73_02005,protein_coding
contig011,gene,103678,104694,+,JX73_02010,protein_coding
contig011,transcript,103678,104694,+,JX73_02010,protein_coding
contig011,exon,103678,104694,+,JX73_02010,protein_coding
contig011,CDS,103678,104691,+,JX73_02010,protein_coding
contig011,start_codon,103678,103680,+,JX73_02010,protein_coding
contig011,stop_codon,104692,104694,+,JX73_02010,protein_coding
contig011,gene,104695,105546,+,JX73_02015,protein_coding
contig011,transcript,104695,105546,+,JX73_02015,protein_coding
contig011,exon,104695,105546,+,JX73_02015,protein_coding
contig011,CDS,104695,105543,+,JX73_02015,protein_coding
contig011,start_codon,104695,104697,+,JX73_02015,protein_coding
